,model,epoch,channel,fold,metric,value
347,resnet,9,41,val,acc,0.7362
348,resnet,9,49,train,loss,0.19828661509772852
349,resnet,9,49,train,acc,0.93236
350,resnet,9,49,val,loss,0.9077402774695378
351,resnet,9,49,val,acc,0.7459
352,resnet,9,57,train,loss,0.18338947314911944
353,resnet,9,57,train,acc,0.93932
354,resnet,9,57,val,loss,0.9283429606325307
355,resnet,9,57,val,acc,0.7489
356,resnet,9,64,train,loss,0.1559015726051329
357,resnet,9,64,train,acc,0.94684
358,resnet,9,64,val,loss,0.8912144876589441
359,resnet,9,64,val,acc,0.7606
360,cond_resnet_one_head,0,1,train,loss,2.635445955159414
361,cond_resnet_one_head,0,1,train,acc,0.19066
362,cond_resnet_one_head,0,1,val,loss,2.6306214454067742
363,cond_resnet_one_head,0,1,val,acc,0.1918
364,cond_resnet_one_head,0,9,train,loss,1.7705843803827719
365,cond_resnet_one_head,0,9,train,acc,0.3705
366,cond_resnet_one_head,0,9,val,loss,1.7660905601112706
367,cond_resnet_one_head,0,9,val,acc,0.3718
368,cond_resnet_one_head,0,17,train,loss,1.5030923194592567
369,cond_resnet_one_head,0,17,train,acc,0.45622
370,cond_resnet_one_head,0,17,val,loss,1.521426099121191
371,cond_resnet_one_head,0,17,val,acc,0.4547
372,cond_resnet_one_head,0,25,train,loss,1.3784825986303637
373,cond_resnet_one_head,0,25,train,acc,0.50142
374,cond_resnet_one_head,0,25,val,loss,1.4079536882935055
375,cond_resnet_one_head,0,25,val,acc,0.4928
376,cond_resnet_one_head,0,33,train,loss,1.323530913695045
377,cond_resnet_one_head,0,33,train,acc,0.51934
378,cond_resnet_one_head,0,33,val,loss,1.3692464885438325
379,cond_resnet_one_head,0,33,val,acc,0.5066
380,cond_resnet_one_head,0,41,train,loss,1.3033588118565358
381,cond_resnet_one_head,0,41,train,acc,0.52418
382,cond_resnet_one_head,0,41,val,loss,1.355664587324592
383,cond_resnet_one_head,0,41,val,acc,0.5092
384,cond_resnet_one_head,0,49,train,loss,1.3031862853738048
385,cond_resnet_one_head,0,49,train,acc,0.52672
386,cond_resnet_one_head,0,49,val,loss,1.3617994504369748
387,cond_resnet_one_head,0,49,val,acc,0.5031
388,cond_resnet_one_head,0,57,train,loss,1.3079666431297732
389,cond_resnet_one_head,0,57,train,acc,0.52438
390,cond_resnet_one_head,0,57,val,loss,1.3769795913605174
391,cond_resnet_one_head,0,57,val,acc,0.505
392,cond_resnet_one_head,0,64,train,loss,1.3137724727315976
393,cond_resnet_one_head,0,64,train,acc,0.52248
394,cond_resnet_one_head,0,64,val,loss,1.3758257840089738
395,cond_resnet_one_head,0,64,val,acc,0.5046
396,cond_resnet_one_head,1,1,train,loss,2.2171551656844977
397,cond_resnet_one_head,1,1,train,acc,0.1829
398,cond_resnet_one_head,1,1,val,loss,2.213462182670642
399,cond_resnet_one_head,1,1,val,acc,0.1842
400,cond_resnet_one_head,1,9,train,loss,1.619689849636439
401,cond_resnet_one_head,1,9,train,acc,0.41518
402,cond_resnet_one_head,1,9,val,loss,1.6170231392429133
403,cond_resnet_one_head,1,9,val,acc,0.4117
404,cond_resnet_one_head,1,17,train,loss,1.3115351404375433
405,cond_resnet_one_head,1,17,train,acc,0.52464
406,cond_resnet_one_head,1,17,val,loss,1.3390190901270338
407,cond_resnet_one_head,1,17,val,acc,0.5139
408,cond_resnet_one_head,1,25,train,loss,1.1764675372701776
409,cond_resnet_one_head,1,25,train,acc,0.57298
410,cond_resnet_one_head,1,25,val,loss,1.2246964801648619
411,cond_resnet_one_head,1,25,val,acc,0.5569
412,cond_resnet_one_head,1,33,train,loss,1.1030620117778973
413,cond_resnet_one_head,1,33,train,acc,0.59998
414,cond_resnet_one_head,1,33,val,loss,1.1703136559504612
415,cond_resnet_one_head,1,33,val,acc,0.5785
416,cond_resnet_one_head,1,41,train,loss,1.0807138880347962
417,cond_resnet_one_head,1,41,train,acc,0.60956
418,cond_resnet_one_head,1,41,val,loss,1.154678916855223
419,cond_resnet_one_head,1,41,val,acc,0.5862
420,cond_resnet_one_head,1,49,train,loss,1.0721508748543538
421,cond_resnet_one_head,1,49,train,acc,0.61414
422,cond_resnet_one_head,1,49,val,loss,1.1555737518960503
423,cond_resnet_one_head,1,49,val,acc,0.5899
424,cond_resnet_one_head,1,57,train,loss,1.072590035017189
425,cond_resnet_one_head,1,57,train,acc,0.61328
426,cond_resnet_one_head,1,57,val,loss,1.155690617622084
427,cond_resnet_one_head,1,57,val,acc,0.5926
428,cond_resnet_one_head,1,64,train,loss,1.0756980349950473
429,cond_resnet_one_head,1,64,train,acc,0.61304
430,cond_resnet_one_head,1,64,val,loss,1.1572627368246673
431,cond_resnet_one_head,1,64,val,acc,0.5912
432,cond_resnet_one_head,2,1,train,loss,2.148241622978464
433,cond_resnet_one_head,2,1,train,acc,0.1896
434,cond_resnet_one_head,2,1,val,loss,2.1453760945872897
435,cond_resnet_one_head,2,1,val,acc,0.1938
436,cond_resnet_one_head,2,9,train,loss,1.518918781634182
437,cond_resnet_one_head,2,9,train,acc,0.44898
438,cond_resnet_one_head,2,9,val,loss,1.5373980991399971
439,cond_resnet_one_head,2,9,val,acc,0.4443
440,cond_resnet_one_head,2,17,train,loss,1.207062493352329
441,cond_resnet_one_head,2,17,train,acc,0.5643
442,cond_resnet_one_head,2,17,val,loss,1.2619555805139482
443,cond_resnet_one_head,2,17,val,acc,0.5437
444,cond_resnet_one_head,2,25,train,loss,1.0834947727677766
445,cond_resnet_one_head,2,25,train,acc,0.61178
446,cond_resnet_one_head,2,25,val,loss,1.174300513449748
447,cond_resnet_one_head,2,25,val,acc,0.5749
448,cond_resnet_one_head,2,33,train,loss,0.9958757087397758
449,cond_resnet_one_head,2,33,train,acc,0.6461
450,cond_resnet_one_head,2,33,val,loss,1.1030637754756174
451,cond_resnet_one_head,2,33,val,acc,0.609
452,cond_resnet_one_head,2,41,train,loss,0.9555344413918303
453,cond_resnet_one_head,2,41,train,acc,0.65908
454,cond_resnet_one_head,2,41,val,loss,1.0727363775490195
455,cond_resnet_one_head,2,41,val,acc,0.6196
456,cond_resnet_one_head,2,49,train,loss,0.9325886473173985
457,cond_resnet_one_head,2,49,train,acc,0.67026
458,cond_resnet_one_head,2,49,val,loss,1.051040382521927
459,cond_resnet_one_head,2,49,val,acc,0.6287
460,cond_resnet_one_head,2,57,train,loss,0.9193740649448942
461,cond_resnet_one_head,2,57,train,acc,0.6741
462,cond_resnet_one_head,2,57,val,loss,1.0444707638898474
463,cond_resnet_one_head,2,57,val,acc,0.631
464,cond_resnet_one_head,2,64,train,loss,0.9185149886876421
465,cond_resnet_one_head,2,64,train,acc,0.67692
466,cond_resnet_one_head,2,64,val,loss,1.0410926983614637
467,cond_resnet_one_head,2,64,val,acc,0.6387
468,cond_resnet_one_head,3,1,train,loss,2.1257480919513556
469,cond_resnet_one_head,3,1,train,acc,0.19832
470,cond_resnet_one_head,3,1,val,loss,2.122006944790008
471,cond_resnet_one_head,3,1,val,acc,0.2004
472,cond_resnet_one_head,3,9,train,loss,1.4558721456076482
473,cond_resnet_one_head,3,9,train,acc,0.46448
474,cond_resnet_one_head,3,9,val,loss,1.4710075437642967
475,cond_resnet_one_head,3,9,val,acc,0.4562
476,cond_resnet_one_head,3,17,train,loss,1.1240341735008124
477,cond_resnet_one_head,3,17,train,acc,0.59536
478,cond_resnet_one_head,3,17,val,loss,1.1971989368936817
479,cond_resnet_one_head,3,17,val,acc,0.5703
480,cond_resnet_one_head,3,25,train,loss,0.9982146860083656
481,cond_resnet_one_head,3,25,train,acc,0.64264
482,cond_resnet_one_head,3,25,val,loss,1.1029457112026821
483,cond_resnet_one_head,3,25,val,acc,0.6118
484,cond_resnet_one_head,3,33,train,loss,0.8936349241172566
485,cond_resnet_one_head,3,33,train,acc,0.68242
486,cond_resnet_one_head,3,33,val,loss,1.0277415047025984
487,cond_resnet_one_head,3,33,val,acc,0.6446
488,cond_resnet_one_head,3,41,train,loss,0.8683538808847022
489,cond_resnet_one_head,3,41,train,acc,0.69484
490,cond_resnet_one_head,3,41,val,loss,1.0159226963474492
491,cond_resnet_one_head,3,41,val,acc,0.6536
492,cond_resnet_one_head,3,49,train,loss,0.8576113027151283
493,cond_resnet_one_head,3,49,train,acc,0.70096
494,cond_resnet_one_head,3,49,val,loss,1.0136692550531619
495,cond_resnet_one_head,3,49,val,acc,0.6568
496,cond_resnet_one_head,3,57,train,loss,0.8439871591832632
497,cond_resnet_one_head,3,57,train,acc,0.7073
498,cond_resnet_one_head,3,57,val,loss,1.0064511716745461
499,cond_resnet_one_head,3,57,val,acc,0.6612
500,cond_resnet_one_head,3,64,train,loss,0.8333495740619157
501,cond_resnet_one_head,3,64,train,acc,0.70982
502,cond_resnet_one_head,3,64,val,loss,0.9929945138609333
503,cond_resnet_one_head,3,64,val,acc,0.66
504,cond_resnet_one_head,4,1,train,loss,2.101033505576346
505,cond_resnet_one_head,4,1,train,acc,0.19802
506,cond_resnet_one_head,4,1,val,loss,2.1023989589350998
507,cond_resnet_one_head,4,1,val,acc,0.1971
508,cond_resnet_one_head,4,9,train,loss,1.420261444490584
509,cond_resnet_one_head,4,9,train,acc,0.48738
510,cond_resnet_one_head,4,9,val,loss,1.4474900239592146
511,cond_resnet_one_head,4,9,val,acc,0.4788
512,cond_resnet_one_head,4,17,train,loss,1.0602364594979055
513,cond_resnet_one_head,4,17,train,acc,0.62278
514,cond_resnet_one_head,4,17,val,loss,1.1535123108298915
515,cond_resnet_one_head,4,17,val,acc,0.5903
516,cond_resnet_one_head,4,25,train,loss,0.9268563495725012
517,cond_resnet_one_head,4,25,train,acc,0.67076
518,cond_resnet_one_head,4,25,val,loss,1.056455302010676
519,cond_resnet_one_head,4,25,val,acc,0.6296
520,cond_resnet_one_head,4,33,train,loss,0.8146693532729088
521,cond_resnet_one_head,4,33,train,acc,0.71088
522,cond_resnet_one_head,4,33,val,loss,0.9973952606984764
523,cond_resnet_one_head,4,33,val,acc,0.656
524,cond_resnet_one_head,4,41,train,loss,0.7703826576090225
525,cond_resnet_one_head,4,41,train,acc,0.72758
526,cond_resnet_one_head,4,41,val,loss,0.9629061123368087
527,cond_resnet_one_head,4,41,val,acc,0.6719
528,cond_resnet_one_head,4,49,train,loss,0.7402358767016769
529,cond_resnet_one_head,4,49,train,acc,0.73904
530,cond_resnet_one_head,4,49,val,loss,0.9450911367015474
531,cond_resnet_one_head,4,49,val,acc,0.6764
532,cond_resnet_one_head,4,57,train,loss,0.7250152986753932
533,cond_resnet_one_head,4,57,train,acc,0.74588
534,cond_resnet_one_head,4,57,val,loss,0.9410685619730859
535,cond_resnet_one_head,4,57,val,acc,0.6819
536,cond_resnet_one_head,4,64,train,loss,0.7257694959488061
537,cond_resnet_one_head,4,64,train,acc,0.74326
538,cond_resnet_one_head,4,64,val,loss,0.949369039884798
539,cond_resnet_one_head,4,64,val,acc,0.6792
540,cond_resnet_one_head,5,1,train,loss,2.0880313704690665
541,cond_resnet_one_head,5,1,train,acc,0.20358
542,cond_resnet_one_head,5,1,val,loss,2.083078669894273
543,cond_resnet_one_head,5,1,val,acc,0.2079
544,cond_resnet_one_head,5,9,train,loss,1.3729871796525044
545,cond_resnet_one_head,5,9,train,acc,0.50396
546,cond_resnet_one_head,5,9,val,loss,1.4098894960561377
547,cond_resnet_one_head,5,9,val,acc,0.4924
548,cond_resnet_one_head,5,17,train,loss,1.0176844165453216
549,cond_resnet_one_head,5,17,train,acc,0.63644
550,cond_resnet_one_head,5,17,val,loss,1.1345261187310431
551,cond_resnet_one_head,5,17,val,acc,0.594
552,cond_resnet_one_head,5,25,train,loss,0.859911477626742
553,cond_resnet_one_head,5,25,train,acc,0.69278
554,cond_resnet_one_head,5,25,val,loss,1.035453458500516
